"filename", "language", "Python", "pip requirements", "CSV", "Graphviz", "Shell Script", "Gradle", "Properties", "Dart", "XML", "Kotlin", "YAML", "JSON", "SQL", "Markdown", "Log", "Jupyter", "PDF", "plist", "Swift", "HTML", "C++", "JavaScript", "comment", "blank", "total"
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/observations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 202
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/observations.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 81, 1438
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/property_url.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/property_url.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 170
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/serializers.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 49
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/serializers.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 43
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/search_location/crs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/search_location/crs.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 159
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/search_location/crs_property.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/search_location/crs_property.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 127
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/search_location/feature_geometry.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
